S.No.,"Particle mean size
  d50 (mm)","Pile Diameter
 D (m)","Time Period of wave
 T (s)","Height of wave
    H(m)","Current Velocity
    Uc(m/s)","Maximum wave 
orbital velocity 
 Uwm (m/s)","Maximum shear velocity
 Ufm (m/s)","Maximum value of 
combined waves and current velocity
         Um(m/s)","Velocity Ratio
         Ucw","Keulegan–Carpenter 
              number
                   KC","Pile Reynolds                  number
           Re","Froude 
number
       Fr","Shield number
            ᶿ",S/D,Reference ,
1,0.18,0.05,1.19,0.16,0,0.21,0.033,0.21,0,4.9,10000,0.2970,0.37,0,"SCOUR AROUND VERTICAL PILE IN WAVES 
By B. Mutlu Sumer, j0rgen Freds0e, and Niels Christiansen (1992)",
2,0.18,0.05,1.22,0.16,0,0.22,0.023,0.22,0,5.4,11000,0.3198,0.18,0,,
3,0.18,0.05,2.50,0.16,0,0.11,0.013,0.11,0,5.7,5700,0.1628,0.06,0,,
4,0.18,0.05,1.37,0.16,0,0.23,0.022,0.23,0,6.4,12000,0.3327,0.17,0.12,,
5,0.18,0.03,1.19,0.16,0,0.21,0.022,0.21,0,8.2,6200,0.3834,0.16,0.06,,
6,0.18,0.05,1.47,0.16,0,0.31,0.025,0.31,0,9.1,15000,0.4383,0.22,0.22,,
7,0.18,0.05,2.33,0.16,0,0.19,0.018,0.19,0,9,9700,0.2756,0.11,0.15,,
8,0.18,0.03,1.22,0.16,0,0.22,0.023,0.22,0,9.1,6700,0.4129,0.18,0.17,,
9,0.18,0.03,2.50,0.16,0,0.11,0.013,0.11,0,9.2,3400,0.2065,0.06,0.08,,
10,0.18,0.03,1.37,0.16,0,0.23,0.022,0.23,0,10.6,7000,0.4295,0.17,0.2,,
11,0.18,0.05,2.70,0.16,0,0.24,0.019,0.24,0,12.9,12000,0.3384,0.12,0.3,,
12,0.18,0.05,2.00,0.16,0,0.34,0.024,0.34,0,13.6,17000,0.4840,0.2,0.3,,
13,0.18,0.03,2.33,0.16,0,0.19,0.018,0.19,0,15,5800,0.3558,0.11,0.37,,
14,0.18,0.03,1.47,0.16,0,0.31,0.025,0.31,0,15.1,9200,0.5659,0.22,0.55,,
15,0.18,0.03,3.13,0.16,0,0.18,0.016,0.18,0,19.1,5500,0.3373,0.09,0.25,,
16,0.18,0.03,2.00,0.16,0,0.30,0.023,0.30,0,20.2,9100,0.5604,0.19,0.75,,
17,0.18,0.05,2.70,0.16,0,0.38,0.024,0.38,0,20.4,19000,0.5397,0.2,0.43,,
18,0.18,0.03,2.70,0.16,0,0.24,0.019,0.24,0,21.4,7100,0.4369,0.12,0.42,,
